tamanho_mib,repeticao,vazao_mibs
16,1,6472.492
16,2,6196.747
16,3,4581.901
16,4,5545.927
16,5,5631.820
16,6,5974.608
16,7,6168.080
16,8,6661.116
16,9,6589.786
16,10,5261.427
16,11,6177.606
16,12,6641.760
16,13,6125.574
16,14,5999.250
16,15,5174.644
16,16,6417.970
16,17,6172.840
16,18,6794.055
16,19,5759.539
16,20,6776.789
16,21,5954.596
16,22,6722.689
16,23,6382.130
16,24,5647.723
16,25,6321.612
16,26,6459.427
16,27,4696.214
16,28,5580.746
16,29,6165.703
16,30,6779.661
128,1,7353.364
128,2,6083.072
128,3,6747.496
128,4,5929.220
128,5,6916.676
128,6,7279.759
128,7,6585.378
128,8,7298.022
128,9,6885.422
128,10,7099.279
128,11,6381.176
128,12,5930.319
128,13,7210.861
128,14,5973.771
128,15,5687.625
128,16,6884.682
128,17,6810.322
128,18,6417.327
128,19,6970.539
128,20,7374.546
128,21,6938.045
128,22,4544.002
128,23,7345.768
128,24,7721.542
128,25,7601.402
128,26,6871.376
128,27,-88.536
128,28,7591.033
128,29,7628.583
128,30,6723.748
1024,1,5837.286
1024,2,5367.777
1024,3,6082.494
1024,4,6861.155
1024,5,6054.622
1024,6,6713.389
1024,7,6708.727
1024,8,6655.488
1024,9,5993.386
1024,10,6167.932
1024,11,6032.330
1024,12,5848.488
1024,13,6523.623
1024,14,6201.550
1024,15,6196.034
1024,16,5347.705
1024,17,5449.707
1024,18,6944.586
1024,19,6820.437
1024,20,6887.228
1024,21,7135.889
1024,22,5903.991
1024,23,6946.423
1024,24,6284.136
1024,25,6654.320
1024,26,6778.135
1024,27,6873.913
1024,28,7345.399
1024,29,7188.184
1024,30,6871.330
